Produto,Classificação,Vendas para 2 semanas,Margem de Contribuição por unidade,Quantidade fabricada por produto,Tempo de produção por receita
Bolinho,Sobremesa,24,7,13,01:28:31
Empadão,Lanche,26,"11,37",9,01:51:44
Escondidinho,Refeição,42,"15,745",22,02:28:08
Esfiha,Lanche,80,"5,486667",20,02:35:17
Estrogonofe,Refeição,12,"16,84",18,02:56:40
Lasanha,Refeição,12,"18,15",18,03:45:54
Macarrão,Refeição,24,"15,79667",21,02:18:50
Panqueca,Refeição,34,"14,565",20,02:20:53
Pão de queijo (12 unid),Lanche,12,"18,92",4,01:28:09
Quiche,Lanche,28,"7,0675",6,02:35:57
Sanduíche natural,Lanche,56,"6,135",8,01:20:48
